id,title,year,rating,categoria
1,Um Sonho de Liberdade,1994,9.3,Obra-prima
2,O Poderoso Chefão,1972,9.2,Obra-prima
3,Batman: O Cavaleiro das Trevas,2008,9.1,Obra-prima
4,O Poderoso Chefão: Parte II,1974,9.0,Obra-prima
5,12 Homens e uma Sentença,1957,9.0,Obra-prima
6,O Senhor dos Anéis: O Retorno do Rei,2003,9.0,Obra-prima
7,A Lista de Schindler,1993,9.0,Obra-prima
8,O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,Excelente
9,Pulp Fiction: Tempo de Violência,1994,8.8,Excelente
10,Três Homens em Conflito,1966,8.8,Excelente
